Netz;Leitungstyp;Querschnitt [mm^2];Spannung [kV];Überlagertes Netz;? Länge [km];0-5%;5-10%;10-15%;15-20%;20-25%;25-30%;30-35%;35-40%;40-45%;45-50%;50-55%;55-60%;60-65%;65-70%;70-75%;75-80%;80-85%;85-90%;90-95%;95-100%;100-105%;105-110%;110-114%;114-120%;>120%;Kein Ergebnis
303S155;NKBA 4X70;70;0,4;300W100 UW Rankackerweg 30X_1;0,481;0,203;0,101;0,008;0,12;0,042;0;0,007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
303S155;NKBA 4X10;10;0,4;300W100 UW Rankackerweg 30X_1;0,323;0,006;0;0;0;0,03;0;0,07;0;0,066;0,006;0,045;0,03;0,046;0,023;0;0;0;0;0;0;0;0;0;0;0;0
303S155;NYCWY 3X95/95;95;0,4;300W100 UW Rankackerweg 30X_1;0,056;0,01;0,022;0,01;0,004;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
303S155;NAYY-J 4X150 AL;150;0,4;300W100 UW Rankackerweg 30X_1;0,829;0,16;0,174;0,058;0,258;0,045;0,027;0;0,107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
303S155;NYCWY 3X35/35;35;0,4;300W100 UW Rankackerweg 30X_1;0,032;0;0,001;0;0,01;0;0,01;0,011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
303S155;NAYY-J 4X50 AL;50;0,4;300W100 UW Rankackerweg 30X_1;0,108;0;0;0;0;0;0;0;0,074;0,033;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
303S155;NAYY-J 4X35 AL;35;0,4;300W100 UW Rankackerweg 30X_1;0,106;0;0;0,028;0;0,009;0,06;0,009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
302S185;NAYCWY 3X120/120 AL;120;0,4;300W100 UW Rankackerweg 30X_1;1,881;0,132;0,034;0,384;0,82;0,309;0,201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
302S185;NAYCWY 3X50/50 AL;50;0,4;300W100 UW Rankackerweg 30X_1;0,865;0,155;0,179;0,126;0,187;0,163;0,027;0,029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
302S185;NAYY-J 4X150 AL;150;0,4;300W100 UW Rankackerweg 30X_1;0,047;0;0,007;0,011;0,011;0,018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
302S185;NAYY-J 4X35 AL;35;0,4;300W100 UW Rankackerweg 30X_1;0,303;0,046;0,066;0;0,053;0,052;0;0;0;0;0,085;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
302S187;NAYCWY 3X150/150 AL;150;0,4;300W100 UW Rankackerweg 30X_1;0,007;0;0;0;0,004;0;0;0;0;0;0,003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
302S187;NYCWY 3X95/95;95;0,4;300W100 UW Rankackerweg 30X_1;0,33;0;0,026;0,103;0,042;0,027;0,045;0,064;0,023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
302S187;NAYCWY 3X120/120 AL;120;0,4;300W100 UW Rankackerweg 30X_1;1,097;0,002;0,105;0,148;0,212;0,144;0,154;0,116;0,132;0;0;0,001;0,064;0,019;0;0;0;0;0;0;0;0;0;0;0;0;0
302S187;NKBA 4X50;50;0,4;300W100 UW Rankackerweg 30X_1;0,044;0;0;0;0;0,007;0,037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
302S187;NYCWY 3X10/10;10;0,4;300W100 UW Rankackerweg 30X_1;0,019;0,018;0;0;0;0,001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
